# 2025-04-08呜喵码RIME格式码表 #为注释
了	a
书	aa
磊	aaa
磨磨蹭蹭	aaaa
磋磨	aaaa
磊磊	aaaa
磨破	aaac
磨蹭	aaad
硬碰硬	aaaf
磨砂	aaah
书函	aaak
磨碎	aaap
蹉跎	aaar
踌躇	aaas
磊	aaas
蹉跌	aaat
磨砺	aaax
砥砺	aaax
硬邦邦	aaaz
破破烂烂	aabb
书社	aabe
磨炼	aabh
磨圆	aabj
书灯	aabm
书将	aabp
书费	aabt
书背	aabw
书牍	aabw
书业	aaby
磕磕绊绊	aacc
磨练	aach
羞辱	aacj
羞红	aack
书痴	aaco
书皮	aacp
起跑线	aacv
昏昏欲睡	aadf
书卷	aadh
跃跃欲试	aadh
书翁	aadm
书单	aadp
书奴	aadt
羌	aae
乜	aae
书场	aaea
羞赧	aaeb
磨合	aaeh
书内	aael
磨去	aaem
磨坊	aaeo
书坊	aaeo
羞	aaet
书城	aaey
磨坏	aaez
磨灭	aafb
羞恶	aafb
慧眼	aafc
磨具	aafd
书目	aafm
石破天惊	aafo
书画	aafp
羞于	aafw
磨牙	aafy
磨制	aafy
碃	aag
磋商	aage
碗碗腔	aage
羞臊	aagj
书童	aagm
书脑	aagp
踢踏舞	aagt
碃	aagy
书讯	aaha
磋谈	aahb
书谱	aahd
书证	aahf
磨削	aahg
书记	aahj
书评	aaho
踽踽独行	aahs
砥	aai
碰碰车	aaic
羝	aaid
砥	aaid
起承转合	aaie
书盟	aaig
羞明	aaig
磨辊	aaii
彗星	aaip
碈	aair
书上	aais
书影	aaiv
磨轮	aaiw
踌	aaj
踌	aajc
书吧	aajk
磨叨	aajk
羞口	aajk
书口	aajk
书中	aajl
磨嘴	aajt
书号	aaju
书品	aajz
磋	aak
磨刀	aakd
蹉	aakg
磋	aakg
磨工	aakg
书信	aakh
书脊	aakl
碶	aakn
丑表功	aakr
书票	aalb
书铺	aalf
书钉	aalm
羞人	aalr
买路钱	aalv
磨针	aalw
乜斜	aalx
磨镜	aaly
书法	aame
踌躇满志	aame
慧能	aamg
磨沙	aamh
那摩温	aami
羞涩	aamk
书里	aaml
昏昏沉沉	aamm
磨沟	aamq
书测	aamt
磨耗	aamv
书摘	aang
磨损	aanj
书报	aann
跌跌撞撞	aann
磕磕撞撞	aann
磨擦	aanr
书摊	aant
磨掉	aanu
磨折	aanx
书套	aany
磨平	aaod
羞怯	aaoe
羌族	aaog
羞惭	aaoi
书刊	aaol
羞恼	aaop
磨快	aaoq
赶鸭子上架	aaor
羞愤	aaow
慧心	aaox
书页	aaoy
羞愧	aaoz
磨粉	aapd
赶趟儿	aape
磨料	aaph
书名	aapj
书迷	aapn
书生	aaps
书市	aapy
书册	aaqc
磨墨	aaqe
慧黠	aaqe
麻麻黑	aaqh
书包	aaqj
羌笛	aaqk
书签	aaql
书籍	aaqm
磨砂玻璃	aaqq
书箱	aaqu
书简	aaqv
跟踪球	aaqw
硬着头皮	aarc
书案	aard
书架	aarj
跑码头	aarn
确确实实	aarr
踏踏实实	aarr
磨盘	aars
硬磁盘	aars
书写	aaru
书家	aary
磨	aas
砉	aas
跖	aas
砳	aas
羞射	aasj
磊落	aasm
书荒	aasq
起起落落	aass
书斋	aasy
碛	aat
书虫	aatc
书系	aatc
碛	aate
磨难	aatq
书贩	aatx
砀	aau
书札	aaua
慧根	aauc
书本	aauf
书桌	aaui
书柜	aauq
砀	aaus
书林	aauu
石刁柏	aauv
书橱	aaux
跷跷板	aaux
麻麻亮	aavc
慧聪	aavd
蹉跎岁月	aavg
书亭	aavm
书塾	aavo
羞耻	aavt
跑买卖	aawa
书馆	aawr
书友	aawt
磨蚀	aawt
跑跑颠颠	aaww
摩羯座	aax
书后	aaxf
书香	aaxi
书库	aaxi
摩羯座	aaxl
书店	aaxo
磨床	aaxu
书稿	aaxv
碡	aay
磨成	aaya
书局	aaya
书屋	aayd
书眉	aayf
磨光	aayg
磨扇	aayi
碡	aaym
书房	aayo
磨房	aayo
书展	aays
彗尾	aayv
慧	aaz
踌躇不前	aazd
跖骨	aazg
跳跃器	aazh
彗	aazj
书录	aazk
书面	aazm
硬着陆	aazn
慧	aazo
书院	aazr
表示	ab
羹	aba
蹼	abai
跷起	abaj
羹	aban
躞蹀	abas
跷蹊	abat
蹼足	abau
跹蹴	abav
羔羊	abay
踵武	abbt
羔皮	abcp
跨国公司	abda
美国总统	abdc
跑圆场	abea
砩	abf
那回事	abfj
美国政府	abfx
甲状腺	abg
跷腿	abgc
青壮年	abgk
甲状腺	abgv
羔	abh
躞	abht
跷	abhu
硗	abhu
羹匙	abie
甲状软骨	abiz
着重号	abju
走火入魔	abla
美国人	ablr
踵	abm
羹汤	abma
踵	abml
跹	abn
跹	abnc
趁火打劫	abne
超固态	abni
着火点	abob
承重孙	aboh
羔子	aboi
走神儿	abpe
起重船	abrc
超视频	abth
起重机	abuc
超重氢	abwt
硬武器	abzh
硝烟弥漫	abzm
趋炎附势	abzn
跟	ac
破书	acaa
跟着	acaf
破路	acah
素养	acai
破甲	acaj
跟差	acak
破了	acal
跟了	acal
破碎	acap
跟跑	acaq
跟踪	acar
跟跌	acat
跛足	acau
破表	acav
破烂	acbd
素装	acbe
破千	acbq
破戒	acbs
破费	acbt
破牌	acbv
破幻	acca
摩纳哥	accc
破皮	accp
碳纤维	accq
破绽	accr
破线	accv
养老送终	acdc
跟前	acdg
跟到	acdl
破关	acdn
素女	acdn
跟单	acdp
跟她	acdq
破的	acdu
跟姐	acdy
破壳	acec
破墙	acee
破敌	aceh
破空	acek
素肉	acel
破网	acen
素志	aceo
破塔	aces
破土	acet
矾土	acet
破城	acey
破坏	acez
破灭	acfb
破事	acfj
破万	acfk
破天	acfn
破绽百出	acfo
素选	acfp
素雅	acfq
寿终正寝	acfr
破开	acfs
跟下	acfu
破百	acfv
硍	acg
跟	acg
跟甩	acga
跺脚	acge
跟脚	acge
破胆	acgi
超凡脱俗	acgk
破脸	acgl
素服	acgn
破站	acgo
素股	acgs
素端	acgv
破产	acgx
破颜	acgx
破月	acgy
破词	acha
跟斗	achd
跟诊	achl
跟谁	achq
破译	acht
破处	achu
跟读	achw
破读	achw
跟小	achx
破晓	acib
破车	acic
矾	acid
破题	acie
素昧	acim
素日	acir
跟上	acis
破卡	aciu
破影	aciv
矶	acj
跟唱	acji
破口	acjk
跟啥	acjl
跟咱	acjr
